ens_name,registration_date,registration_cost_ether,expiry_date,registration_hour,st_registration_cost_ether
globaldigitalrightscharter.eth,2023-03-11 20:00:11,0.3413465995670374,2123-03-12 02:00:11,20,5.1567737750493885
isrealites.eth,2023-03-11 19:59:47,0.006826931991340747,2025-03-11 07:38:11,19,-0.2107784977474622
aomg.eth,2023-03-11 19:59:11,0.24013142721156258,2025-03-11 07:37:35,19,3.5327205994757325
gdrc.eth,2023-03-11 19:57:47,0.5461545593066139,2028-03-11 01:03:47,19,8.443030268588116
andrewoliver.eth,2023-03-11 19:57:35,0.003413465995670373,2024-03-11 01:46:47,19,-0.26554943930661373
streamsongs.eth,2023-03-11 19:53:47,0.003413048967591701,2024-03-11 01:42:59,19,-0.26555613075177664
denomie.eth,2023-03-11 19:47:47,0.006826097935183402,2025-03-11 07:26:11,19,-0.21079188063778803
primes.eth,2023-03-11 19:45:23,0.044605535336840765,2024-03-11 01:34:35,19,0.395399996090553
yamanotetraveller.eth,2023-03-11 19:38:59,0.003413048967591701,2024-03-11 01:28:11,19,-0.26555613075177664
matheo.eth,2023-03-11 19:38:11,0.044279387445686776,2026-03-11 13:05:47,19,0.39016677358044344
seizonszn.eth,2023-03-11 19:36:35,0.003413048967591701,2024-03-11 01:25:47,19,-0.26555613075177664
buddyboeheim.eth,2023-03-11 19:33:59,0.003413048967591701,2024-03-11 01:23:11,19,-0.26555613075177664
icepickeldorado.eth,2023-03-11 19:29:11,0.06826097935183402,2043-03-11 15:53:11,19,0.7749646214140069
nonfungiblevault.eth,2023-03-11 19:28:11,0.006826097935183402,2025-03-11 07:06:35,19,-0.21079188063778803
itsonconsulting.eth,2023-03-11 19:26:47,0.006826097935183402,2025-03-11 07:05:11,19,-0.21079188063778803
holgi1.eth,2023-03-11 19:21:23,0.003413048967591701,2024-03-11 01:10:35,19,-0.26555613075177664
trosser.eth,2023-03-11 19:20:35,0.003413048967591701,2024-03-11 01:09:47,19,-0.26555613075177664
cbneil.eth,2023-03-11 19:20:23,0.003413048967591701,2024-03-11 01:09:35,19,-0.26555613075177664
worldwida.eth,2023-03-11 19:18:47,0.003413048967591701,2024-03-11 01:07:59,19,-0.26555613075177664
🎅🏿🎅🏿.eth,2023-03-11 19:12:59,0.008372771172463631,2023-04-08 19:12:59,19,-0.18597465685479783
🪄🪄🪄🪄.eth,2023-03-11 19:09:35,0.008372771172463631,2023-04-08 19:09:35,19,-0.18597465685479783
🔱🔱🔱🔱.eth,2023-03-11 19:09:35,0.008372771172463631,2023-04-08 19:09:35,19,-0.18597465685479783
🌐🌐🌐🌐.eth,2023-03-11 19:09:35,0.008372771172463631,2023-04-08 19:09:35,19,-0.18597465685479783
🦾🦾🦾🦾.eth,2023-03-11 19:09:35,0.008372771172463631,2023-04-08 19:09:35,19,-0.18597465685479783
🚩🚩🚩🚩.eth,2023-03-11 19:09:35,0.008372771172463631,2023-04-08 19:09:35,19,-0.18597465685479783
etherpirate.eth,2023-03-11 19:08:35,0.003413048967591701,2024-03-11 00:57:47,19,-0.26555613075177664
allisonburgers.eth,2023-03-11 19:07:59,0.003413048967591701,2024-03-11 00:57:11,19,-0.26555613075177664
muhopro-muddy.eth,2023-03-11 19:04:35,0.003413048967591701,2024-03-11 00:53:47,19,-0.26555613075177664
acexp.eth,2023-03-11 19:02:47,0.010239146902775104,2026-03-11 12:30:23,19,-0.1560276305237994
lintangsutawika.eth,2023-03-11 19:02:35,0.003410782899500936,2024-03-10 19:02:35,19,-0.2655924910621256
hkwb3.eth,2023-03-11 18:59:35,0.003437395988804941,2024-03-11 18:59:35,18,-0.26516546938948354
ordinalapez.eth,2023-03-11 18:59:23,0.003430281706123193,2024-03-11 00:48:35,18,-0.2652796219726619
teslaboy.eth,2023-03-11 18:58:47,0.003413048967591701,2026-03-11 12:26:23,18,-0.26555613075177664
markoflux.eth,2023-03-11 18:55:23,0.017092518166896033,2028-03-11 00:01:23,18,-0.04606151471469276
gtwau.eth,2023-03-11 18:51:59,0.003418503633379206,2024-03-11 00:41:11,18,-0.26546860763555075
zoftig.eth,2023-03-11 18:48:23,0.01025551090013762,2026-03-11 12:15:59,18,-0.15576506117512176
notstablecoins.eth,2023-03-11 18:46:59,0.003439926104590447,2024-03-11 00:36:11,18,-0.265124872288472
rashadh.eth,2023-03-11 18:45:59,0.01031977831377134,2026-03-11 12:13:35,18,-0.15473385513388535
091371.eth,2023-03-11 18:42:35,0.003439926104590447,2024-03-11 00:31:47,18,-0.265124872288472
dreamtalelabs.eth,2023-03-11 18:41:59,0.003439926104590447,2024-03-11 00:31:11,18,-0.265124872288472
wildcardsolutions.eth,2023-03-11 18:38:59,0.017199630522952238,2028-03-10 23:44:59,18,-0.044342837979298694
volvotonvankuyk.eth,2023-03-11 18:37:23,0.003439926104590447,2024-03-11 00:26:35,18,-0.265124872288472
tonvankuyk.eth,2023-03-11 18:33:59,0.003439926104590447,2024-03-11 00:23:11,18,-0.265124872288472
streetfoodgod.eth,2023-03-11 18:29:35,0.003439926104590447,2024-03-11 00:18:47,18,-0.265124872288472
gamers8esports.eth,2023-03-11 18:24:23,0.006916158437728592,2025-03-11 06:02:47,18,-0.20934681028174904
gamers8gg.eth,2023-03-11 18:24:23,0.006916158437728592,2025-03-11 06:02:47,18,-0.20934681028174904
werkman.eth,2023-03-11 18:17:47,0.006916158437728592,2025-03-11 05:56:11,18,-0.20934681028174904
dudlycold.eth,2023-03-11 18:05:35,0.010374237656592887,2026-03-11 11:33:11,18,-0.1538600249897409
❤español.eth,2023-03-11 18:05:23,0.003458079218864296,2024-03-10 23:54:35,18,-0.2648335955737572
colecash.eth,2023-03-11 18:05:23,0.010374237656592887,2026-03-11 11:32:59,18,-0.1538600249897409
bvcrtjnh56.eth,2023-03-11 18:02:11,0.003458079218864296,2024-03-10 23:51:23,18,-0.2648335955737572
